,date,color -- streamlit-generated,value -- streamlit-generated
283,2023-10-11T00:00:00.000,model,2656369.3058266076
284,2023-10-12T00:00:00.000,model,1195019.7527504212
285,2023-10-13T00:00:00.000,model,553579.3167163215
286,2023-10-14T00:00:00.000,model,263185.9694964613
287,2023-10-15T00:00:00.000,model,126082.8924614414
288,2023-10-16T00:00:00.000,model,60917.14752855889
289,2023-10-17T00:00:00.000,model,29590.361355729638
290,2023-10-18T00:00:00.000,model,14421.564784328257
291,2023-10-19T00:00:00.000,model,7043.253060327067
292,2023-10-20T00:00:00.000,model,1498194.1486123106
293,2023-10-21T00:00:00.000,model,448167.4345884729
294,2023-10-22T00:00:00.000,model,192250.72347888388
295,2023-10-23T00:00:00.000,model,85997.45866381277
296,2023-10-24T00:00:00.000,model,39677.13599301614
297,2023-10-25T00:00:00.000,model,18703.311010902282
298,2023-10-26T00:00:00.000,model,8943.076707639428
299,2023-10-27T00:00:00.000,model,2993815.5413163295
300,2023-10-28T00:00:00.000,model,895058.4761331084
301,2023-10-29T00:00:00.000,model,383871.2915716551
302,2023-10-30T00:00:00.000,model,171684.72435004057
303,2023-10-31T00:00:00.000,model,79201.85237549877
304,2023-11-01T00:00:00.000,model,37331.808897188064
305,2023-11-02T00:00:00.000,model,17849.45672958025
306,2023-11-03T00:00:00.000,model,8613.294908481754
307,2023-11-04T00:00:00.000,model,4180.632838452288
308,2023-11-05T00:00:00.000,model,2036.54559083049
309,2023-11-06T00:00:00.000,model,26159138.597096354
310,2023-11-07T00:00:00.000,model,9508529.432705026
311,2023-11-08T00:00:00.000,model,3749942.263523234
312,2023-11-09T00:00:00.000,model,1651699.573778071
313,2023-11-10T00:00:00.000,model,11224516.556831196
314,2023-11-11T00:00:00.000,model,3517260.1393929273
315,2023-11-12T00:00:00.000,model,1546541.0776629806
316,2023-11-13T00:00:00.000,model,702001.4951482746
317,2023-11-14T00:00:00.000,model,326252.8327296672
318,2023-11-15T00:00:00.000,model,154545.5180696407
319,2023-11-16T00:00:00.000,model,21749467.53019206
320,2023-11-17T00:00:00.000,model,9806732.922574176
321,2023-11-18T00:00:00.000,model,6738395.734925451
322,2023-11-19T00:00:00.000,model,2559106.8702923474
323,2023-11-20T00:00:00.000,model,1142313.1909691943
324,2023-11-21T00:00:00.000,model,525610.2073380129
325,2023-11-22T00:00:00.000,model,247312.02472455858
326,2023-11-23T00:00:00.000,model,118111.7990537134
327,2023-11-24T00:00:00.000,model,56953.45361792347
328,2023-11-25T00:00:00.000,model,27630.793897263673
329,2023-11-26T00:00:00.000,model,13456.169497003551
330,2023-11-27T00:00:00.000,model,3743443.518994607
331,2023-11-28T00:00:00.000,model,1126706.753091494
332,2023-11-29T00:00:00.000,model,483707.34518799034
333,2023-11-30T00:00:00.000,model,219609.6320200866
334,2023-12-01T00:00:00.000,model,103077.40348206984
335,2023-12-02T00:00:00.000,model,48661.6956828895
336,2023-12-03T00:00:00.000,model,23290.361277618438
337,2023-12-04T00:00:00.000,model,11246.11614393381
338,2023-12-05T00:00:00.000,model,5460.748645897799
339,2023-12-06T00:00:00.000,model,2660.8123571009914
340,2023-12-07T00:00:00.000,model,1299.311711162807
341,2023-12-08T00:00:00.000,model,635.3168353247717
342,2023-12-09T00:00:00.000,model,310.90147836563693
343,2023-12-10T00:00:00.000,model,152.2205931161118
344,2023-12-11T00:00:00.000,model,18684450.43101893
345,2023-12-12T00:00:00.000,model,6197318.954033871
346,2023-12-13T00:00:00.000,model,2563193.0732100112
347,2023-12-14T00:00:00.000,model,6382907.420395162
348,2023-12-15T00:00:00.000,model,3615450.081090243
349,2023-12-16T00:00:00.000,model,5137457.827247041
350,2023-12-17T00:00:00.000,model,1767394.0585702502
351,2023-12-18T00:00:00.000,model,792875.224780417
352,2023-12-19T00:00:00.000,model,1863968.3698106473
353,2023-12-20T00:00:00.000,model,629001.351989443
354,2023-12-21T00:00:00.000,model,1776140.3154734944
355,2023-12-22T00:00:00.000,model,2822522.9854316767
356,2023-12-23T00:00:00.000,model,935701.9850341447
357,2023-12-24T00:00:00.000,model,414472.3233653632
358,2023-12-25T00:00:00.000,model,190270.4222310822
359,2023-12-26T00:00:00.000,model,88729.57774125035
360,2023-12-27T00:00:00.000,model,42126.61434761869
361,2023-12-28T00:00:00.000,model,20236.777406654965
362,2023-12-29T00:00:00.000,model,9794.441842157474
363,2023-12-30T00:00:00.000,model,4762.802776526125
364,2023-01-01T00:00:00.000,observed,2766528.0000000005
365,2023-01-02T00:00:00.000,observed,2766528.0000000005
366,2023-01-03T00:00:00.000,observed,2766528.0000000005
367,2023-01-04T00:00:00.000,observed,2746656
368,2023-01-05T00:00:00.000,observed,2712960
369,2023-01-06T00:00:00.000,observed,2721600
