day,daily_total_gdp,dam_storage,downstream_storage,upstream_storage,river_discharge_downstream,houses_damaged_by_inundation,financial_damage_by_innundation,financial_damage_by_flood
163,5208510208.996116,43226425.2158617,5892020.090033999,5871924.964230264,6478981.187288045,0.0,0.0,0.0
164,5208507701.881965,43314504.090325154,17317701.16525,18068229.547418572,19918958.976865515,0.0,0.0,0.0
165,5208505194.767813,43585527.533536434,30861024.6248056,35284195.20246132,37743317.12150679,0.0,0.0,0.0
166,5208502687.653663,44114790.461573355,12185809.672718655,23972179.192084935,22181081.505186155,0.0,0.0,0.0
167,5208500180.539512,44474373.14945463,399901.1466065999,12236421.571916666,8494896.84874969,0.0,0.0,0.0
168,5208497673.42536,44657919.47303338,75545.01408022997,6070134.768477383,8190791.177977062,0.0,0.0,0.0
169,5208495166.311209,40283179.54725721,2140461.400625,4848918.404053918,3884312.0791198844,0.0,0.0,0.0
170,5208492659.197058,40355913.32331802,23740355.7347,23167066.75758642,25987549.549363036,0.0,0.0,0.0
171,5208490152.082908,40703419.32468182,6925051.647569653,15169164.476693984,13742248.043321494,0.0,0.0,0.0
172,5208487644.968756,40930956.79183223,7615894.63816,14147660.742862944,12933421.487618519,0.0,0.0,0.0
173,5208485137.854605,41143171.70297518,31807117.86045,34893851.431875035,37499673.289342396,0.0,0.0,0.0
174,5208482630.740454,41666579.4744533,22836550.128484145,32866733.401888974,32828000.392853122,0.0,0.0,0.0
175,5208480123.626303,42159580.47548164,18305757.743528247,30240953.798492447,28895406.835497346,0.0,0.0,0.0
176,5208477616.512152,42613194.78245902,28236648.97501348,38812964.375368424,38744609.703595564,0.0,0.0,0.0
177,5208475109.398001,43195389.248089544,38210117.62966735,49223784.486841,50386311.697260946,0.0,0.0,0.0
178,5208472602.28385,43933746.01539216,30081576.37971597,44694485.780702606,44155052.8514763,0.0,0.0,0.0
179,5208470095.169699,44604163.3021027,14915868.865549048,31280759.55380878,32697144.919768415,0.0,0.0,0.0
180,5082206396.887155,40612958.36519956,53344230.59577755,62216358.48628939,65509776.435383946,4608.533477646352,126261191.16839321,0.0
181,4516597316.1768265,41546203.7424939,87712574.20700051,97688117.57552889,105745740.19481796,23499.50873935696,643822157.2426565,0.0
182,4954851559.580555,43011525.506126836,45252289.79091518,69199010.41572073,69367812.53574406,123.00317601974768,3369950.027938293,0.0
183,4949154617.904051,44049510.66236265,22294504.55522699,46004870.59755235,42607118.51906048,0.0,0.0,0.0
184,4769761230.216762,44739583.721325934,57686595.938572384,71439193.9644663,78569123.26175088,6647.302677822621,182117881.5841814,0.0
185,4889773819.679442,41337213.25866034,26369994.177398868,47427728.349885926,44790898.35152962,0.0,0.0,0.0
186,4892972538.764279,42048629.18390863,29409217.36992563,46312496.88301941,44775127.69864677,0.0,0.0,0.0
187,4895851545.33609,42743316.637153916,26762901.914301056,42639659.492378846,40878082.27016519,0.0,0.0,0.0
188,4898443207.632666,43382911.5295396,24558770.896421522,39571856.513217635,37746501.0424022,0.0,0.0,0.0
189,4900776827.030114,43976489.377237864,16758076.735346427,31782655.611890536,28952175.421915542,0.0,0.0,0.0
190,4902878954.787978,44453229.21141622,17437966.93243102,30531982.712060817,28135769.294221275,0.0,0.0,0.0
191,4904773676.836445,44911208.95209713,22075500.26556701,33790865.15490341,36814570.869025856,0.0,0.0,0.0
192,4906482869.806142,40926951.03421097,4819400.056717254,19081064.0071057,14928886.41487144,0.0,0.0,0.0
193,4908026431.180802,41213166.99431756,901509.9077915,10242129.02239722,6892855.038732892,0.0,0.0,0.0
194,4909422486.164924,41366798.92965352,11270705.44393,14914327.437782776,14605564.473781569,0.0,0.0,0.0
195,4907285254.984615,41590513.84122026,6913893.11499,13430369.71940754,12005502.457216734,0.0,0.0,0.0
196,4887095226.258846,41791969.38701137,5519415.7381730005,11478399.124956021,10005724.413477894,0.0,0.0,0.0
197,4912884054.772086,41964145.37388571,1989911.398883,7390255.047580487,5671441.757653503,0.0,0.0,0.0
198,4913842014.816052,42074999.19959942,3239672.388233,6478919.500131821,5578066.634180724,0.0,0.0,0.0
199,4914722395.857166,42172182.9921014,10828816.18021,12674934.211552523,13209553.793914711,0.0,0.0,0.0
200,4915535996.076307,42362307.00527469,7259193.273024002,12639449.867224764,11775992.086092532,0.0,0.0,0.0
201,4916292806.7593975,42551898.75328306,2075849.7140300004,8059223.479534395,6266290.222718338,0.0,0.0,0.0
202,4917002099.921134,42672787.105476074,3857678.5029030005,7339506.4865897745,6446108.683138288,0.0,0.0,0.0
203,4917672506.92899,42782879.70277492,19569738.26622,20748662.875888556,22536653.88104832,0.0,0.0,0.0
